,N,NE,E,SE,S,SW,W,NW
2021-10-27 09:30:00+02:00,23.730691666666665,23.730691666666665,23.730691666666665,23.730691666666665,23.730691666666665,23.730691666666665,23.730691666666665,23.730691666666665
2021-10-27 09:45:00+02:00,28.078950000000003,28.078950000000003,28.078950000000003,28.078950000000003,28.078950000000003,28.078950000000003,28.078950000000003,28.078950000000003
2021-10-27 10:00:00+02:00,32.06051666666666,32.06051666666666,32.06051666666666,32.06051666666666,32.06051666666666,32.06051666666666,32.06051666666666,32.06051666666666
2021-10-27 10:15:00+02:00,36.294666666666664,36.294666666666664,36.294666666666664,36.294666666666664,36.294666666666664,36.294666666666664,36.294666666666664,36.294666666666664
2021-10-27 10:30:00+02:00,40.34094166666666,40.34094166666666,40.34094166666666,40.34094166666666,40.34094166666666,40.34094166666666,40.34094166666666,40.34094166666666
2021-10-27 10:45:00+02:00,44.36565,44.36565,44.36565,44.36565,44.36565,44.36565,44.36565,44.36565
2021-10-27 11:00:00+02:00,47.88654166666666,47.88654166666666,47.88654166666666,47.88654166666666,47.88654166666666,47.88654166666666,47.88654166666666,47.88654166666666
2021-10-27 11:15:00+02:00,50.98719166666666,50.98719166666666,50.98719166666666,50.98719166666666,50.98719166666666,50.98719166666666,50.98719166666666,50.98719166666666
2021-10-27 11:30:00+02:00,53.666124999999994,53.666124999999994,53.666124999999994,53.666124999999994,53.666124999999994,53.666124999999994,53.666124999999994,53.666124999999994
2021-10-27 11:45:00+02:00,56.39451666666666,56.39451666666666,56.39451666666666,56.39451666666666,56.39451666666666,56.39451666666666,56.39451666666666,56.39451666666666
2021-10-27 12:00:00+02:00,58.409624999999984,58.409624999999984,58.409624999999984,58.409624999999984,58.409624999999984,58.409624999999984,58.409624999999984,58.409624999999984
2021-10-27 12:15:00+02:00,60.06084999999999,60.06084999999999,60.06084999999999,60.06084999999999,60.06084999999999,60.06084999999999,60.06084999999999,60.06084999999999
2021-10-27 12:30:00+02:00,61.09276666666666,61.09276666666666,61.09276666666666,61.09276666666666,61.09276666666666,61.09276666666666,61.09276666666666,61.09276666666666
2021-10-27 12:45:00+02:00,61.19504166666667,61.19504166666667,61.19504166666667,61.19504166666667,61.19504166666667,61.19504166666667,61.19504166666667,61.19504166666667
2021-10-27 13:00:00+02:00,61.51583333333333,61.51583333333333,61.51583333333333,61.51583333333333,61.51583333333333,61.51583333333333,61.51583333333333,61.51583333333333
2021-10-27 13:15:00+02:00,61.71417499999998,61.71417499999998,61.71417499999998,61.71417499999998,61.71417499999998,61.71417499999998,61.71417499999998,61.71417499999998
2021-10-27 13:30:00+02:00,61.045474999999996,61.045474999999996,61.045474999999996,61.045474999999996,61.045474999999996,61.045474999999996,61.045474999999996,61.045474999999996
2021-10-27 13:45:00+02:00,60.280049999999996,60.280049999999996,60.280049999999996,60.280049999999996,60.280049999999996,60.280049999999996,60.280049999999996,60.280049999999996
2021-10-27 14:00:00+02:00,58.41450833333332,58.41450833333332,58.41450833333332,58.41450833333332,58.41450833333332,58.41450833333332,58.41450833333332,58.41450833333332
2021-10-27 14:15:00+02:00,55.08564166666665,55.08564166666665,55.08564166666665,55.08564166666665,55.08564166666665,55.08564166666665,55.08564166666665,55.08564166666665
2021-10-27 14:30:00+02:00,52.58969166666665,52.58969166666665,52.58969166666665,52.58969166666665,52.58969166666665,52.58969166666665,52.58969166666665,52.58969166666665
2021-10-27 14:45:00+02:00,49.61849166666668,49.61849166666668,49.61849166666668,49.61849166666668,49.61849166666668,49.61849166666668,49.61849166666668,49.61849166666668
2021-10-27 15:00:00+02:00,47.31804999999999,47.31804999999999,47.31804999999999,47.31804999999999,47.31804999999999,47.31804999999999,47.31804999999999,47.31804999999999
2021-10-27 15:15:00+02:00,44.46724166666665,44.46724166666665,44.46724166666665,44.46724166666665,44.46724166666665,44.46724166666665,44.46724166666665,44.46724166666665
2021-10-27 15:30:00+02:00,40.759141666666665,40.759141666666665,40.759141666666665,40.759141666666665,40.759141666666665,40.759141666666665,40.759141666666665,40.759141666666665
